,Gender,Age,Married,NumberofDependents,City,Latitude,Longitude,NumberofReferrals,TenureinMonths,Offer,PhoneService,MultipleLines,InternetService,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,TotalRevenue,CustomerStatus,ChurnCategory
573,Male,44,No,2,North Palm Springs,33.906496,-116.569499,0,62,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,20.0,2767.86,Stayed,
574,Male,23,No,0,Shingle Springs,38.598936,-120.963092,0,70,No Offer,No,No PhoneService,Yes,DSL,26.0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,48.4,3442.8,Stayed,
575,Female,56,Yes,0,Saratoga,37.257772,-122.051824,3,16,Offer D,Yes,No,Yes,Fiber Optic,2.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,1629.15,Stayed,
576,Female,57,No,0,Concord,37.950248,-122.022455,0,15,No Offer,Yes,No,Yes,DSL,11.0,Yes,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,58.95,1413.25,Stayed,
577,Female,27,No,0,Woodacre,38.005839,-122.638155,0,45,No Offer,Yes,No,Yes,Fiber Optic,47.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,100.3,4530.3,Stayed,
578,Male,59,Yes,0,North Hollywood,34.187599,-118.387125,5,72,No Offer,Yes,Yes,Yes,Fiber Optic,5.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,105.6,8024.3,Stayed,
579,Female,21,Yes,3,West Covina,34.024405,-117.898722,1,13,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Mailed Check,19.55,814.29,Stayed,
580,Male,29,No,0,Concord,37.990118,-122.012188,0,6,Offer E,Yes,No,Yes,DSL,71.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Credit Card,60.9,688.12,Stayed,
581,Male,56,Yes,3,Olivehurst,39.082568,-121.55325,1,18,Offer D,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,20.05,850.98,Stayed,
582,Female,32,Yes,3,San Francisco,37.722302,-122.491129,6,68,No Offer,Yes,Yes,Yes,Fiber Optic,53.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,103.75,8133.57,Stayed,
583,Female,63,Yes,1,Trinidad,41.162295,-124.027381,1,64,Offer B,Yes,Yes,Yes,Fiber Optic,19.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,No,Bank Withdrawal,113.35,7679.87,Stayed,
584,Female,53,No,0,Garden Grove,33.764018,-117.931507,0,34,Offer C,Yes,Yes,Yes,DSL,4.0,Yes,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Mailed Check,64.4,3258.69,Churned,Attitude
585,Male,51,No,0,Sacramento,38.490508,-121.284171,0,5,No Offer,Yes,No,Yes,Cable,4.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,75.15,621.1,Stayed,
586,Female,26,Yes,1,Altadena,34.196837,-118.142236,5,20,No Offer,Yes,Yes,Yes,Fiber Optic,51.0,Yes,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,82.4,2290.92,Churned,Price
587,Male,61,Yes,0,Cassel,40.936285,-121.572692,1,64,No Offer,Yes,No,Yes,Fiber Optic,8.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,104.05,6910.19,Stayed,
588,Female,68,Yes,0,Pixley,35.957019,-119.330928,4,26,No Offer,Yes,No,Yes,Fiber Optic,4.0,No,No,Yes,No,Yes,No,No,Yes,Two Year,Yes,Credit Card,85.7,3269.24,Stayed,
589,Female,34,No,0,Columbia,38.085839,-120.37855,0,5,Offer E,Yes,No,Yes,Cable,22.0,Yes,No,No,Yes,No,No,No,No,Month-to-Month,No,Credit Card,53.85,368.44,Churned,Competitor
590,Female,57,No,0,Escondido,33.141265,-116.967221,0,2,Offer E,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Mailed Check,20.05,52.95,Stayed,
591,Male,36,Yes,0,Sheep Ranch,38.244806,-120.417301,1,13,No Offer,Yes,Yes,Yes,Fiber Optic,28.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,102.25,1756.15,Churned,Competitor
592,Male,30,Yes,0,Hamilton City,39.732767,-122.042298,1,59,Offer B,Yes,Yes,Yes,Cable,53.0,Yes,No,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,69.1,5306.4,Stayed,
593,Male,47,No,0,Pinecrest,38.224869,-119.755729,0,17,Offer D,Yes,Yes,Yes,DSL,5.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,65.75,1917.85,Stayed,
594,Female,40,No,0,West Hollywood,34.093781,-118.381061,0,9,No Offer,Yes,No,Yes,Fiber Optic,23.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,79.55,1132.09,Churned,Competitor
595,Female,70,No,0,San Luis Obispo,35.233745,-120.626442,0,10,No Offer,Yes,No,Yes,Fiber Optic,30.0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,84.6,1034.05,Churned,Attitude
596,Female,62,No,0,Pine Grove,38.400264,-120.641274,0,5,Offer E,Yes,No,Yes,Fiber Optic,17.0,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,85.4,643.45,Churned,Price
597,Female,20,No,0,San Diego,32.886925,-117.152162,0,54,No Offer,Yes,Yes,Yes,Fiber Optic,82.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.95,7986.43,Churned,Competitor
598,Male,32,No,0,Livermore,37.571748,-121.659562,0,56,Offer B,Yes,Yes,Yes,Fiber Optic,13.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.4,7002.8,Stayed,
599,Male,21,Yes,0,Lucerne Valley,34.508417,-116.856103,3,4,Offer E,Yes,Yes,Yes,Fiber Optic,48.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,101.15,424.14,Churned,Competitor
600,Female,23,No,0,Clarksburg,38.384648,-121.578701,0,2,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Mailed Check,19.5,87.59,Churned,Dissatisfaction
601,Male,55,No,0,Honeydew,40.342928,-124.063329,0,62,Offer B,Yes,Yes,Yes,Cable,12.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,69.4,6787.56,Stayed,
602,Female,72,Yes,0,San Diego,32.741499,-117.127409,1,27,No Offer,Yes,No,Yes,Fiber Optic,13.0,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,3991.59,Churned,Attitude
603,Male,57,No,0,Coalinga,36.186867,-120.387793,0,1,Offer E,Yes,No,Yes,DSL,13.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,45.7,51.25,Churned,Competitor
604,Female,29,Yes,0,Cressey,37.420273,-120.66527,1,53,Offer B,Yes,No,Yes,Fiber Optic,82.0,No,No,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,93.45,6904.75,Stayed,
605,Male,47,Yes,0,Burney,40.946785,-121.719489,1,54,No Offer,Yes,Yes,Yes,Fiber Optic,23.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.3,7181.54,Churned,Competitor
606,Male,34,No,0,Imperial Beach,32.579134,-117.119009,0,23,No Offer,Yes,No,Yes,Cable,23.0,No,No,No,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,64.9,2707.0,Stayed,
607,Male,53,Yes,3,El Monte,34.074492,-118.01462,10,6,Offer E,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card,19.45,122.92,Stayed,
608,Male,46,No,0,River Pines,38.545775,-120.743325,0,8,No Offer,No,No PhoneService,Yes,Cable,4.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Mailed Check,44.55,343.45,Stayed,
609,Female,43,Yes,0,Los Angeles,34.072945,-118.37267,1,11,Offer D,Yes,Yes,Yes,Fiber Optic,26.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.5,1398.83,Churned,Dissatisfaction
610,Male,46,Yes,0,Los Angeles,34.110845,-118.259595,1,61,No Offer,Yes,Yes,Yes,Fiber Optic,2.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,96.5,7013.26,Stayed,
611,Male,21,Yes,0,Forks Of Salmon,41.232128,-123.194748,8,34,No Offer,Yes,Yes,Yes,Fiber Optic,41.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,100.85,4668.0,Stayed,
612,Male,31,No,0,Marina Del Rey,33.977468,-118.445475,0,56,No Offer,Yes,Yes,Yes,Fiber Optic,24.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,105.35,7921.89,Stayed,
613,Male,38,No,0,Loomis,38.809175,-121.171375,0,38,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card,20.1,1574.84,Stayed,
614,Male,29,Yes,1,Redding,40.587919,-122.464732,2,69,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,20.2,3001.45,Stayed,
615,Male,29,Yes,0,Monterey,36.362741,-121.869685,4,72,Offer A,Yes,Yes,Yes,Fiber Optic,58.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,115.15,10920.57,Stayed,
616,Female,74,Yes,0,Pittsburg,38.006047,-121.916834,8,70,Offer A,Yes,Yes,Yes,Fiber Optic,14.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,113.0,11221.6,Stayed,
617,Female,33,No,2,Los Angeles,34.070291,-118.349191,0,7,No Offer,No,No PhoneService,Yes,Cable,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,29.8,201.95,Stayed,
618,Male,53,Yes,0,Clearlake Oaks,39.07116,-122.598542,1,61,No Offer,Yes,Yes,Yes,DSL,20.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,80.8,7495.96,Stayed,
619,Male,29,Yes,2,Sun City,33.739412,-117.173334,1,55,Offer B,Yes,Yes,Yes,Fiber Optic,52.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,85.5,7017.35,Stayed,
620,Male,37,Yes,0,San Jose,37.371862,-121.860349,1,61,Offer B,Yes,Yes,Yes,Cable,4.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,69.9,4512.79,Stayed,
621,Female,79,Yes,1,Randsburg,35.405722,-117.773354,5,14,No Offer,Yes,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,95.8,1547.76,Stayed,
622,Male,66,Yes,0,Lakewood,33.847755,-118.112532,0,72,No Offer,Yes,Yes,Yes,Fiber Optic,2.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,104.15,8124.11,Churned,Price
623,Male,35,No,0,Paradise,39.69676,-121.644379,0,22,Offer D,Yes,Yes,Yes,Fiber Optic,16.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,83.05,2051.42,Stayed,
624,Female,55,No,0,Westlake Village,34.130992,-118.894673,0,3,Offer E,Yes,No,Yes,Fiber Optic,4.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,83.75,386.33,Churned,Attitude
625,Female,70,Yes,0,Felton,37.089111,-122.062213,6,60,Offer B,Yes,Yes,Yes,Fiber Optic,19.0,No,Yes,No,No,No,Yes,No,No,Two Year,No,Bank Withdrawal,89.45,6785.4,Stayed,
626,Female,40,No,0,Ludlow,34.702766,-116.093376,0,3,No Offer,Yes,Yes,Yes,Fiber Optic,25.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.25,295.61,Churned,Attitude
627,Male,42,No,3,Alta,39.218096,-120.79153,0,1,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,19.55,50.18,Stayed,
628,Male,23,No,0,San Jose,37.305622,-122.000887,0,7,Offer E,Yes,No,Yes,Fiber Optic,71.0,No,No,Yes,No,No,No,Yes,No,Month-to-Month,No,Mailed Check,74.65,705.61,Churned,Competitor
629,Male,78,Yes,0,Los Molinos,40.059385,-122.091481,3,4,Offer E,No,No PhoneService,Yes,DSL,5.0,No,No,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,29.9,118.25,Stayed,
630,Female,22,No,0,Brawley,33.03933,-115.191857,0,13,No Offer,Yes,No,Yes,Fiber Optic,27.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.5,1571.68,Stayed,
631,Male,20,No,0,Oakland,37.776523,-122.219268,0,3,No Offer,Yes,No,Yes,DSL,59.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,50.15,213.11,Stayed,
632,Female,74,No,0,Klamath,41.572813,-124.035011,0,63,Offer B,Yes,Yes,Yes,Fiber Optic,16.0,No,No,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89.6,8172.2,Stayed,
633,Female,33,No,0,Calpine,39.672813,-120.456699,0,36,No Offer,Yes,No,Yes,Cable,8.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,76.35,4221.67,Stayed,
634,Female,36,No,0,Big Bar,40.775272,-123.287414,0,54,No Offer,Yes,No,Yes,Fiber Optic,20.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,100.05,7150.23,Stayed,
635,Female,50,No,0,Dos Palos,37.045728,-120.630682,0,47,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,20.25,1445.75,Stayed,
636,Female,40,Yes,0,Mokelumne Hill,38.304194,-120.592431,9,41,Offer B,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,20.65,1221.59,Stayed,
637,Female,40,No,1,Chico,39.903272,-121.843567,0,13,Offer D,Yes,No,Yes,Cable,27.0,No,No,Yes,Yes,No,No,No,No,Month-to-Month,No,Credit Card,53.45,1021.02,Stayed,
638,Female,44,No,0,Santa Ana,33.748478,-117.858918,0,35,Offer C,Yes,Yes,Yes,Fiber Optic,17.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.25,3894.75,Churned,Competitor
639,Male,54,No,0,Winters,38.578604,-122.024579,0,10,Offer D,Yes,Yes,Yes,Fiber Optic,3.0,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,80.7,971.08,Churned,Competitor
640,Female,24,Yes,0,Hesperia,34.361387,-117.337509,4,30,Offer C,Yes,No,Yes,DSL,53.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,80.8,2847.5,Stayed,
641,Male,46,Yes,1,Vacaville,38.419088,-122.024568,2,44,No Offer,Yes,No,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,92.95,5277.9,Stayed,
642,Female,22,Yes,0,Encino,34.152875,-118.486056,6,47,Offer B,Yes,Yes,Yes,DSL,52.0,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,85.3,5607.3,Stayed,
643,Male,67,Yes,0,Palmdale,34.613476,-118.256358,1,58,Offer B,Yes,Yes,Yes,Fiber Optic,5.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.7,5997.04,Churned,Competitor
644,Male,42,No,0,Tulare,36.185471,-119.375243,0,52,Offer B,No,No PhoneService,Yes,Cable,14.0,No,Yes,No,No,No,No,No,Yes,One Year,No,Mailed Check,30.1,1611.68,Stayed,
645,Female,21,No,0,Woodland Hills,34.178068,-118.615714,0,7,No Offer,Yes,No,Yes,Fiber Optic,42.0,No,No,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Mailed Check,80.3,811.17,Churned,Competitor
646,Male,71,Yes,0,Jolon,35.930782,-121.189757,1,20,No Offer,Yes,No,Yes,Fiber Optic,24.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1570.9,Churned,Competitor
647,Male,46,No,0,Mountain View,37.419725,-122.062947,0,13,No Offer,Yes,Yes,Yes,Fiber Optic,15.0,Yes,No,No,No,Yes,Yes,Yes,No,Month-to-Month,No,Mailed Check,98.15,1313.93,Churned,Price
648,Male,19,Yes,3,Clearlake,38.965804,-122.631779,7,12,Offer D,No,No PhoneService,Yes,DSL,73.0,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Mailed Check,35.5,432.25,Stayed,
649,Female,23,No,0,Novato,38.112166,-122.634384,0,54,No Offer,Yes,No,Yes,Fiber Optic,42.0,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,94.1,7845.28,Stayed,
650,Female,61,No,0,Agoura Hills,34.129058,-118.759788,0,13,Offer D,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,19.65,675.49,Stayed,
651,Female,25,No,0,Oakland,37.750553,-122.197175,0,7,No Offer,Yes,No,Yes,Fiber Optic,42.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,69.9,714.23,Stayed,
652,Male,28,No,0,Covina,34.08111,-117.853935,0,42,Offer B,Yes,Yes,Yes,Fiber Optic,48.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.0,4568.09,Stayed,
653,Male,40,Yes,3,Pleasant Grove,38.833554,-121.498102,0,65,Offer B,Yes,Yes,Yes,Fiber Optic,57.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,104.1,9268.85,Stayed,
654,Male,35,No,3,Rancho Cordova,38.602723,-121.279913,0,49,No Offer,Yes,Yes,Yes,Fiber Optic,58.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,109.2,5523.69,Stayed,
655,Female,57,Yes,2,Alameda,37.724817,-122.224363,1,62,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,20.3,1445.57,Stayed,
656,Male,45,No,0,Claremont,34.127621,-117.717863,0,32,No Offer,Yes,No,Yes,Fiber Optic,26.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.2,3990.12,Churned,Attitude
657,Female,37,Yes,1,Hornitos,37.479926,-120.230424,8,11,Offer D,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Credit Card,20.0,737.44,Stayed,
658,Female,23,No,0,Thousand Palms,33.849263,-116.382778,0,1,Offer E,Yes,No,Yes,Fiber Optic,27.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Mailed Check,70.8,101.4,Churned,Competitor
659,Male,31,Yes,1,Woodland Hills,34.178068,-118.615714,1,37,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card,19.8,2264.0,Stayed,
660,Male,38,No,0,Bodfish,35.523991,-118.400432,0,1,Offer E,Yes,No,Yes,Cable,27.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.55,132.01,Churned,Competitor
661,Female,28,No,0,Monrovia,34.1528,-118.000482,0,1,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,19.65,62.07,Stayed,
662,Female,57,Yes,0,Soquel,37.023669,-121.946461,10,69,Offer A,Yes,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,24.25,4340.87,Stayed,
663,Female,59,Yes,0,Castaic,34.506627,-118.699048,6,72,No Offer,Yes,No,Yes,Cable,22.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Credit Card,70.65,8115.79,Stayed,
664,Female,46,Yes,0,Glendale,34.182378,-118.262922,1,26,Offer C,Yes,Yes,Yes,DSL,19.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,90.1,2931.14,Stayed,
665,Female,34,No,0,Agoura Hills,34.129058,-118.759788,0,3,No Offer,No,No PhoneService,Yes,DSL,22.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,29.2,98.5,Stayed,
666,Male,61,Yes,0,Monterey,36.362741,-121.869685,6,62,No Offer,No,No PhoneService,Yes,Cable,4.0,No,No,No,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,39.0,2337.45,Stayed,
667,Male,30,Yes,0,San Diego,32.85723,-117.209774,2,69,Offer A,Yes,Yes,Yes,Fiber Optic,26.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.45,10374.8,Churned,Competitor
668,Male,32,Yes,1,Fiddletown,38.513484,-120.704613,4,26,Offer C,Yes,No,Yes,DSL,19.0,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.35,1405.92,Stayed,
669,Female,27,Yes,3,Squaw Valley,36.719141,-119.202677,0,40,No Offer,No,No PhoneService,Yes,DSL,52.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,50.85,2036.55,Stayed,
670,Female,42,Yes,0,Santa Ynez,34.630356,-120.032564,7,33,No Offer,Yes,No,Yes,DSL,9.0,No,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,51.45,3345.87,Stayed,
671,Female,40,Yes,2,Forbestown,39.531028,-121.24807,5,72,Offer A,Yes,Yes,Yes,Cable,15.0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Two Year,No,Bank Withdrawal,80.85,6534.59,Stayed,
672,Female,50,No,0,Wilseyville,38.392686,-120.415951,0,3,No Offer,Yes,No,Yes,DSL,5.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,264.54,Stayed,
673,Male,31,No,0,Corona,33.762351,-117.488725,0,18,No Offer,Yes,No,Yes,DSL,3.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,49.4,1250.28,Churned,Other
674,Female,78,Yes,0,Junction City,40.913192,-123.06597,2,68,No Offer,Yes,No,Yes,DSL,20.0,No,Yes,Yes,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,60.65,6733.3,Stayed,
675,Female,59,No,2,Escondido,33.079834,-117.134275,0,19,Offer D,Yes,No,Yes,Cable,26.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,48.8,1030.22,Stayed,
676,Male,72,No,1,Los Angeles,34.089953,-118.294824,0,7,No Offer,Yes,No,Yes,DSL,17.0,No,No,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,45.75,603.18,Stayed,
677,Male,25,No,0,San Diego,32.898613,-117.202937,0,1,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Mailed Check,20.1,24.21,Churned,Competitor
678,Male,71,No,2,Glen Ellen,38.368744,-122.522642,0,56,Offer B,Yes,No,Yes,Fiber Optic,28.0,Yes,No,No,No,Yes,Yes,No,Yes,One Year,No,Credit Card,94.8,5856.22,Stayed,
679,Female,27,No,0,Port Hueneme,34.110124,-119.100972,0,7,Offer E,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Bank Withdrawal,20.0,249.88,Churned,Attitude
680,Male,54,No,0,San Diego,32.85723,-117.209774,0,5,Offer E,Yes,No,Yes,Fiber Optic,8.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,96.5,596.85,Churned,Competitor
681,Female,73,Yes,0,Garden Grove,33.786738,-117.982564,0,66,Offer A,Yes,Yes,Yes,Fiber Optic,20.0,No,Yes,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,100.8,8542.71,Stayed,
682,Male,47,No,2,Clements,38.227285,-121.02789,0,7,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card,19.45,480.87,Stayed,
683,Male,46,No,0,Lawndale,33.88856,-118.351813,0,1,No Offer,Yes,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,19.05,24.07,Stayed,
684,Male,66,No,0,Santee,32.847336,-116.997605,0,8,Offer E,Yes,No,Yes,Fiber Optic,5.0,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,69.7,907.65,Stayed,
